;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
35;90.6;91.2;91.6;91.8;91.8;92.6;92.6;92.2;92.2;92;92.6;92.8;93.2;93;92.8;92.6;92.6;93;92.8;93;93;93.4;93.2;93.2;93.4;93.6;93.6;93.2;93;92.8;92.6;93;92.8;92.4;92.4;92.2;92.6;92.4;92;92.2;92.2;92.2;92.2;92.2;92.2;92.4;92.4;92.4;92.4;92.4;92.2;92.4;92.2;92.6;92.2;92.2;92.2;92.2;92.4;92.4
36;90.4;91.2;92;92;91.8;92.8;92.4;92.2;92.2;92.2;92.6;92.8;93;92.8;92.6;92.6;92.8;92.8;93;93.4;93;93.2;93;93;93.8;93.6;93.4;93.4;93;92.8;92.8;92.4;92.8;92.2;92.4;92.6;92.6;92.4;92;92;92;92.2;92.2;92.2;92.4;92.4;92.4;92.4;92.4;92.4;92.2;92.4;92.2;92.6;92.2;92.2;92.2;92.2;92.4;92.4
37;90.6;91.4;91.6;91.8;92;92.6;92.4;92.4;92;92.4;92.8;92.8;92.8;92.8;92.6;92.8;92.8;93.2;93.2;93.4;93.4;93.2;93.4;93.2;93.6;93.8;93.4;93;93;92.8;92.4;92.6;92.6;92.4;92.2;92.2;92.2;92.2;92;92;92;92;92.2;92.4;92.4;92.4;92.4;92.4;92.4;92.4;92.2;92.4;92.2;92.4;92.2;92.2;92.2;92.2;92.4;92.4
38;90.6;91.4;91.8;92;92;92.6;92.4;92.2;92.2;92.4;92.6;92.8;93;92.8;92.6;92.8;92.8;93.2;93;93;93;93;93.4;93.6;93.6;93.4;93.4;93.2;93;92.8;92.6;92.6;92.4;92.4;92.2;92.2;92.2;92.2;92;92;92;92;92.2;92.6;92.4;92.4;92.4;92.4;92.4;92.2;92.2;92.4;92.2;92.6;92.2;92.2;92.2;92.2;92.4;92.4
39;90.8;91.6;91.8;91.8;92.4;92.6;92.2;92.4;92.2;92.2;93;93;92.8;92.8;92.8;92.8;92.8;93;93.4;93.2;93;93;93.4;93.8;93.2;93.2;93.2;92.8;92.8;92.6;92.4;92.6;92.4;92.4;92.2;92.2;92;92.2;92;92;92;92.2;92.4;92.4;92.4;92.4;92.4;92.4;92.4;92.2;92.2;92.4;92.2;92.6;92.2;92.2;92.2;92.2;92.4;92.4
40;90.6;91.4;91.8;91.8;92.2;92.6;92.4;92.2;92.2;92.6;93;92.8;93;92.8;92.8;93;93;93.4;93.2;93;92.8;93.4;93.2;93.4;93.4;93.2;93.2;93.2;93;92.6;92.4;92.4;92.6;92;92.2;92.2;92.2;92.2;92;92;92;92.4;92.4;92.2;92.4;92.4;92.4;92.4;92.4;92.2;92.2;92.4;92.2;92.4;92.2;92.2;92.2;92.2;92.4;92.4
41;90.2;91.4;91.8;91.8;92.2;92.4;92.4;92.4;92;92.8;93;92.6;92.8;93;93;93.2;93.2;93.2;93.2;93.2;93;93;93.8;93.6;93.4;93;93;92.8;92.6;92.4;92.6;92.6;92.4;92;92.2;92.4;92.2;92.2;91.8;92;92.2;92.4;92.2;92.2;92.4;92;92.4;92.4;92.4;92.2;92;92.2;92.2;92.4;92.2;92.2;92.2;92.2;92.2;92.4
42;90.8;91.4;91.8;92;92.4;92.6;92.4;92.4;92;92.8;93;92.6;92.6;92.8;93;93.2;93.4;93.4;93.2;92.8;92.8;93.2;93.2;94;93.2;93;92.8;92.8;92.8;92.4;92.4;92.4;92.4;92.4;92;92.2;92.2;92.2;92;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.4;92;92;92.2;92.2;92.4;92.2;92.2;92.2;92.2;92.4;92.4
43;91;91.4;91.8;92;92.2;92.4;92.4;92.4;92.4;93;93;92.6;92.8;92.8;92.8;93;93.2;93.2;93.2;93;92.8;93.2;93.2;93.2;93.2;93.2;93;92.8;92.6;92.4;92.4;92.2;92.6;92;92.2;92.4;92;92.2;92;92.2;92;92.2;92.2;92.2;92;92;92;92.2;92.2;92;92;92.4;92;92.4;92.2;92.2;92.2;92.2;92.4;92.4
44;90.8;91.4;91.8;91.8;92.2;92.4;92.4;92.4;92.4;93;93;92.8;92.8;92.8;92.8;93.4;93.4;93.2;93.4;93.2;93;93.4;93.2;93.2;93;92.6;92.6;92.8;92.6;92;92.4;92.4;92.4;92.2;91.8;92.4;92;92.2;92;92.2;92;92;92;92.2;92;92.2;92.2;92.2;92;92;92.2;92.2;92.2;92.4;92.2;92.2;92.2;92.2;92.2;92.4
45;90.8;91.6;91.6;91.8;92.4;92.4;92.2;92.2;92.6;93;92.8;92.8;92.8;93;93;93.2;93.4;93.4;93;92.8;93.4;93.8;93.4;92.8;92.6;92.6;92.8;92.4;92.4;92.4;92.2;92.4;92.6;92.2;91.8;92.2;92.2;92.2;91.8;92;92;92;92;92.2;92;92;92.2;92;92;91.8;91.8;92.2;92.2;92.4;92.2;92.2;92.2;92.2;92.4;92.4
46;90.8;91.6;91.6;91.8;92;92.6;92;92.2;92.6;93;92.8;92.8;93.2;93.2;93;93.4;93.2;93.2;93;93.2;93;93.6;93.2;93.2;92.8;92.6;92.6;92.6;92.2;92.2;92.4;92.2;92.4;92.2;92;92;92;91.8;92;92;92;92;92;92.2;92;92;92;92;92;91.8;91.8;92.4;92.2;92.4;92.2;92.2;92.2;92.2;92.4;92.4
47;90.8;91.6;92;92.2;92.4;92.4;92;92.2;92.8;93;93;92.8;92.8;93.2;93.4;93.4;93.2;93.2;93.2;93;93.4;93.2;92.8;92.8;93;92.4;92.4;92.6;92.2;92.2;92.2;92.4;92.6;92;92;92.2;92;91.8;92;91.8;91.8;92.2;92;92.2;91.8;92;92;92;92;91.8;91.8;92.2;92.2;92.4;92.2;92.2;92.2;92.2;92.2;92.4
48;91;91.6;91.8;92.4;92;92.2;92;92.4;92.6;93;93;92.8;93.2;93.2;93.2;93.4;93.4;93;93;93;93.2;93.4;93;92.4;92.6;92.6;92.4;92.4;92.2;92.4;92.2;92.2;92.4;92.2;92.2;92.2;92;91.8;91.6;91.8;92;92;92;92.2;92;92;92;92;92;92;91.8;92.2;92;92.4;92.4;92.2;92.2;92.2;92.4;92.4
49;90.6;91.6;92;92;92.4;91.8;92;92.6;92.8;92.8;92.6;93;93;93.4;93.4;93.4;93.4;93.2;92.8;93;93.4;92.8;93;93;92.4;92.8;92.6;92.2;92.2;92.2;92.2;92;92.2;92.4;92;92;91.6;91.6;91.6;91.8;91.8;92.2;92;92;91.8;92;92;92;92;92;91.8;92.4;92.2;92.4;92.2;92.2;92.2;92.2;92.4;92.4
50;90.6;91.6;92;92;92.4;92.2;92.2;92.2;92.8;93;92.8;93;93.2;93.2;93.4;93.2;93.4;93;93.2;93.4;93;92.6;92.8;92.8;92.4;92.4;92.4;92.4;92.4;92;92.2;92.2;92.2;92.2;91.8;91.8;91.8;91.6;91.6;91.6;91.8;91.8;91.8;92.2;91.8;92;92;91.8;92;92;91.8;92.2;92;92.4;92.2;92.2;92.2;92.2;92.2;92.4
51;90.8;91.6;92;92;92.6;92.4;91.8;92.2;93;93;92.6;93;93.2;93.4;93.2;93.4;93.2;93.2;93;93;93.2;92.8;92.8;92.6;92.4;92.6;92.4;92.4;92.4;92.2;92.2;92.2;92.4;92.2;91.8;91.6;91.8;91.6;91.6;91.6;91.6;91.8;92;92;92;92;92;91.8;92;92;92;92.2;92.2;92.6;92.2;92.2;92.2;92.2;92.2;92.4
52;90.8;91.8;92;92.4;92.6;92.2;92;92.4;93;93;92.6;93.4;93.4;93.4;93.2;93.4;93.2;92.8;93.2;92.8;92.6;92.6;92.4;92.8;92.8;92.4;92.4;92.4;92.2;92;92;92.4;92.4;92.2;91.8;91.8;91.8;91.6;91.6;91.6;91.6;91.8;91.8;91.8;91.8;92;92;91.8;92;92;92;92.2;92;92.4;92.2;92.2;92.2;92.2;92.2;92.4
53;90.8;91.8;92;92.2;92;92.4;92;92.6;93;92.8;92.6;93.4;93.6;93.4;93.4;93.4;93.2;93;92.8;93.2;92.4;92.4;92.6;92.8;92.4;92.6;92.4;92.4;92.2;92.2;92;92.4;92.4;92;91.8;91.8;91.8;91.6;91.6;91.8;91.6;91.8;91.8;91.8;91.6;91.8;92;91.8;92;92;92;92.2;92;92.2;92.2;92.2;92.2;92.2;92.2;92.4
54;91;91.6;92.2;92.4;92.4;91.8;92;92.4;93;92.8;93;93.4;93.4;93.2;93.2;93.2;93.2;93.2;92.8;92.4;92.4;92.6;92.2;92.4;92.6;92.4;92.4;92.4;92.2;92.2;92.2;92.2;92.4;92.2;91.8;91.8;91.8;91.6;91.6;91.6;91.6;91.8;92;91.8;91.8;91.8;92;91.8;92;92;92;92.2;92;92.4;92.2;92.2;92.2;92.2;92.4;92.4
55;90.8;91.8;92;92.6;92.4;92;92;93;93;92.8;92.8;93.4;93.4;93.4;93.4;93.2;93.2;93.2;92.6;92.6;92.4;92.8;92.4;92.2;92.6;92.6;92.4;92.4;92.2;92.2;92.2;92.4;92.4;92;92;91.8;91.8;91.6;91.6;91.6;91.6;91.8;91.8;91.8;91.6;91.8;92;91.8;92;92;92;92.2;92;92.2;92.2;92.2;92.2;92.2;92.4;92.4
56;90.8;91.8;91.8;92.6;92;92;92.6;92.8;93;93;93.2;93.4;93.6;93.6;93.4;93;93.4;93;92.6;92.6;92.2;92.8;92.2;92.2;92.4;92.4;92.4;92.4;92.4;92.4;92.2;92.4;92.4;92;91.8;91.8;91.8;91.6;91.6;91.6;91.6;91.8;92;91.8;91.6;91.6;91.8;91.8;92;92;92;92.2;92;92.4;92;92.2;92.2;92.2;92.2;92.4
57;91;92;92;92.6;92.2;91.8;92.4;92.8;93;92.8;93.4;93.2;93.6;93;93.2;93;93;93;93.2;92.4;92.6;92.4;92.6;92.4;92.4;92.4;92.4;92.4;92.4;92.4;92.4;92.4;92.2;92;91.8;91.8;91.8;91.6;91.6;91.6;91.6;91.8;92;91.8;91.6;91.6;91.8;91.6;92;92;92;92.2;92;92.2;92.2;92.2;92.2;92.2;92.2;92.4
58;91;92;92;92.4;92.4;92.2;92.6;93;93;93;93.2;93.2;93.6;93.2;93.4;93;93;93;93;92.2;92.2;92.4;92.2;92.6;92.6;92.4;92.6;92.4;92.4;92.4;92;92.4;92.2;92;91.8;91.8;91.8;91.6;91.6;91.6;91.6;92;92;92;91.6;91.6;91.8;91.6;91.8;91.8;92;92.4;92;92.2;92;92.2;92.2;92.2;92.4;92.4
59;91;91.8;92;92.2;92.4;92;92.4;93;92.8;92.8;93.2;93.2;93.6;93.4;93.4;93.2;93.2;92.8;92.6;92.2;92;92.2;92.4;92.4;92.6;92.4;92.4;92.6;92.6;92.4;92.2;92.2;92.2;92.2;91.8;91.8;91.8;91.6;91.6;91.6;91.6;92;92;92;91.6;91.6;91.8;91.6;91.8;91.8;91.8;92.4;92;92.2;92.2;92.2;92.2;92.2;92.2;92.4
60;91;91.8;92;92.2;92.6;92;92.4;92.6;93;93;93.4;93.4;93.4;93.4;93.4;92.8;93.2;93.4;92.8;92;92;92.4;92.4;92.4;92.4;92.4;92.6;92.6;92.2;92.2;92.4;92.2;92.4;92;91.8;91.8;91.8;91.6;91.6;91.6;91.6;92;92;92;91.6;91.6;91.8;91.6;91.8;91.8;91.6;92;92;92.2;92.2;92.2;92.2;92.2;92.4;92.4
