;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
15;89.2;90;90.2;91;91.4;91.6;91.6;91.8;91.6;91.8;91.8;91.8;92;92;92.6;92.6;92.6;92.6;92.6;92.6;92.8;92.8;93;93;93;93;93;93;93.2;93;92.4;92.6;92.6;92.4;92.6;92.6;92.6;92.6;92.8;92.8;93;93;93.2;93.2;93;92.8;92.6;93;92.6;92.4;92.4;92;92;92;91.8;91.8;91.8;91.8;91.8;91.8
16;89.2;90.2;91;91;91.4;91.6;91.6;91.8;91.6;91.8;91.8;92.2;92;92.2;92.6;92.6;92.6;92.6;92.6;92.8;92.8;93;93;93;93;93;93;93;92.8;92.6;92.6;92.8;92.8;92.8;92.6;92.6;92.6;92.8;92.8;92.6;92.8;93.2;93.2;93.2;93;92.6;92.6;92.6;92.4;92.2;92;92.2;92.2;92;91.8;91.8;91.8;91.8;91.8;91.8
17;89.4;90.6;91.4;91;91.4;91.8;91.8;91.6;91.8;91.8;91.8;92;92.2;92.6;92.6;92.6;92.6;92.6;92.8;92.8;93;93;93;92.8;92.8;93;92.8;92.8;92.8;92.6;92.6;92.8;92.8;92.8;92.8;92.8;93;92.8;92.8;92.8;92.8;93.4;93;92.6;92.8;92.6;92.2;92.2;92;92.2;92.2;92.2;92;91.8;91.8;91.8;91.8;91.8;91.8;91.8
18;89.8;90.6;91.8;91.2;91.4;91.6;91.8;91.6;91.8;91.8;92.2;92.2;92.2;92.6;92.6;92.6;92.6;92.6;93;93;93;92.8;92.8;93;92.8;92.8;92.8;92.8;92.8;92.6;92.6;92.8;92.8;92.8;92.8;93;93;92.8;93;92.8;92.6;92.8;92.8;92.6;92.2;92.2;92.2;92;92;92;92.2;92.4;92;92;91.8;91.8;91.8;91.8;91.8;91.8
19;89.8;90.8;91.4;91.4;91.8;91.6;91.8;91.6;91.8;92;92.2;92.2;92.4;92.6;92.6;92.6;92.6;92.8;93;92.8;92.8;92.8;93;92.8;92.8;92.8;93;93;92.8;92.6;92.8;92.8;92.8;92.8;93;93;93;93;92.8;92.8;92.6;92.6;92.4;92.4;92.4;92.2;92;92;92;92;92;92.2;92;91.8;91.8;91.8;91.8;91.8;91.8;91.8
20;90;90.6;91;91.2;91.8;91.8;91.8;91.6;92;92;92.2;92.2;92.4;92.6;92.6;92.6;92.6;93;92.8;92.8;92.8;93;92.8;92.8;92.8;93;93;93;92.8;92.8;92.8;92.8;92.8;93;93;93.2;93.2;92.8;92.6;92.6;92.6;92.4;92.4;92.2;92.2;92.2;92;92;92;92;92;92;91.8;91.8;91.8;91.8;91.8;91.8;91.8;91.8
21;90;90.6;91.2;91.4;91.8;91.8;91.6;91.8;92;92.2;92.2;92.4;92.6;92.6;92.6;92.6;92.8;92.8;92.8;92.8;92.8;92.8;92.8;92.8;92.8;93;93;93;92.8;92.8;92.8;92.8;92.8;93;93.2;93;93;93;92.6;92.4;92.2;92.4;92.4;92.4;92.2;92;92;92;92;92;92;92;91.8;92;91.8;91.8;91.8;91.8;91.8;92
22;89.8;90.2;91;91.4;91.8;91.8;91.8;92;92.2;92.2;92.2;92.2;92.6;92.6;92.6;92.8;92.8;92.8;92.8;92.8;92.6;92.8;92.8;92.8;93;93;93;93;93;92.8;92.8;92.8;93.2;93.2;93;93;93;93;92.4;92.4;92.4;92.4;92.4;92.2;92;92;92.2;92;92;92;91.8;92;91.8;91.8;91.8;91.8;91.8;91.8;91.8;92
23;89.8;90.6;91;91.6;92;91.6;91.6;92;92.2;92.2;92.2;92.2;92.6;92.6;92.6;92.8;92.8;92.8;92.8;92.6;92.6;92.8;92.8;93;93;93;93;93.2;93;92.8;92.8;93;93;93.2;93;93;92.8;92.6;92.2;92.4;92.4;92.4;92.4;92.2;92.2;92.2;92;92.2;92;91.8;92;92;91.8;91.8;91.8;91.8;91.8;92;92;92.2
24;89.8;90.6;91.2;91.2;91.8;91.8;91.6;92;92.2;92.2;92.2;92.2;92.6;92.6;92.6;92.8;92.8;92.8;92.8;92.6;92.6;92.8;92.8;93;93;93;93;93.2;93;92.8;93;93;93;93;93;92.8;92.6;92.4;92.2;92.4;92.4;92.4;92.2;92.2;92.2;92.2;92.2;92;92.2;91.8;92;92;91.8;91.8;91.8;91.8;91.8;92.2;92.2;92.4
25;89.8;90.8;91.2;91.4;91.8;91.8;91.8;92.2;92.2;92.4;92.2;92.6;92.4;92.6;92.8;92.8;92.8;92.8;92.6;92.6;92.6;92.8;93;93;93;93;93;93.2;93;92.8;93;93;93;93;92.8;92.6;92.6;92.4;92.4;92.4;92.4;92.4;92.2;92.2;92.2;92;92.2;92.2;92;91.8;92;92;91.8;92;91.8;92;92.2;92.4;92.4;92.4
26;89.8;91.2;91.4;91.8;91.8;91.8;91.8;92.2;92.4;92.2;92.2;92.6;92.4;92.6;92.6;92.8;92.8;92.6;92.6;92.6;92.6;92.8;93;93;93;93;93.2;93.2;93.2;93;93;93;93;92.8;92.8;92.6;92.4;92.6;92.4;92.4;92.2;92.2;92.2;92.2;92.2;92;92.2;92.2;92.2;92;92;92;91.8;91.8;92;92;92.2;92.4;92.4;92.4
27;89.8;91.8;91.4;91.6;91.8;91.8;92.2;92.4;92.4;92.2;92;92.6;92.4;92.8;92.8;93;92.8;92.6;92.8;92.6;92.8;92.8;93;93;93;93;93.2;93.2;93;93;93;93;93;92.8;92.4;92.6;92.4;92.6;92.4;92.2;92.4;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92;92;92;92;92.2;92.4;92.4;92.4;92.4;92.4;92.4
28;90;91.8;91.4;92;91.8;91.8;92.2;92.2;92.4;92.2;92;92.4;92.6;92.8;92.8;92.8;92.8;92.6;92.8;92.6;92.8;93;93;93;93;93.2;93.2;93.2;93.2;93;93;93;93;92.6;92.4;92.4;92.4;92.6;92.4;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92;91.8;92;92;92.4;92.2;92.4;92.4;92.4;92.4;92.4
29;90.2;91.4;91.6;92;91.8;91.6;92.2;92.4;92.2;92.2;92.2;92.4;92.8;92.8;93;93;92.8;92.6;92.6;92.6;92.8;93;93;93;93;93.2;93.2;93.4;93.2;93;92.8;92.8;92.8;92.4;92.4;92.4;92.6;92.6;92.4;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92;91.8;92.4;92.2;92.4;92.2;92.2;92.4;92.4;92.4;92.4
30;90;91.2;91.6;92;91.8;91.6;92.2;92.4;92.2;92.2;92.2;92.6;92.8;92.8;93;93;92.6;92.6;92.6;92.6;92.8;93;93;93;93.2;93.2;93.4;93.6;93.2;92.8;92.6;92.8;92.8;92.4;92.4;92.4;92.6;92.6;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92;92.2;92.4;92.2;92.6;92.4;92.2;92.4;92.4;92.4;92.4
31;90;91.2;91.6;92;91.8;91.8;92.2;92.4;92.2;92;92.2;92.8;92.8;93;93;92.6;92.6;92.6;92.6;92.8;93;93;93;93.2;93.2;93.2;93.6;93.6;93.4;92.8;92.6;92.8;92.8;92.4;92.4;92.4;92.4;92.6;92.4;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.4;92.2;92.4;92.2;92.2;92.4;92.4;92.4;92.4
32;90.4;91.2;91.4;91.8;91.6;91.6;92.4;92.2;92.2;92;92.6;93;92.8;93;93;92.6;92.6;92.6;92.8;92.8;92.8;93;93.2;93;93;93.4;93.8;93.6;93.4;93;92.8;92.8;92.6;92.4;92.4;92.4;92.4;92.4;92.4;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.4;92.2;92.2;92.4;92.2;92.6;92.2;92.2;92.4;92.4;92.4;92.4
33;90.6;91.4;91.6;91.6;91.8;91.8;92;92.2;92.2;92.2;92.6;92.8;93;93;93;92.6;92.8;92.6;93;92.8;92.8;93;93.4;93.2;93.2;93.4;93.6;93.8;93.2;92.8;93;93;92.4;92.4;92.4;92.4;92.4;92.4;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.4;92.4;92.4;92.2;92.4;92.2;92.4;92.2;92.2;92.2;92.2;92.4;92.4
34;90.6;91.2;91.4;91.8;91.8;92.4;92.4;92.2;92.2;92.2;92.6;92.8;93;92.8;92.8;92.8;92.8;92.6;92.8;93;92.8;93.2;93.2;93;93.2;93.8;93.6;93.4;93.2;92.8;92.8;93;92.8;92.4;92.4;92.4;92.6;92.4;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.2;92.4;92.4;92.4;92.4;92.2;92.4;92.2;92.6;92.2;92.2;92.2;92.2;92.4;92.4
